© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
Natural Killer Cell Signaling	1.03E00	1.64E-01	NaN	CD247,FYN,RAC2,RAF1,PTPN6,AKT2,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,FGFR2,KRAS,INPPL1,AKT1,PLCG2,MAPK3,ZAP70,PRKCE,INPP5K
Renin-Angiotensin Signaling	1.03E00	1.64E-01	NaN	RAF1,PTPN6,RALA,NRAS,GRB2,PIK3R1,FGFR1,MAP3K1,RALB,MAPK8,ADCY6,FGFR2,KRAS,STAT3,ITPR1,ATF2,MAPK14,PLCG2,MAPK3,PRKACA,PRKCE
Factors Promoting Cardiogenesis in Vertebrates	1.02E00	1.74E-01	NaN	SMAD2,TCF4,TGFBR1,SMAD9,AXIN1,TCF3,ATF2,MAPK14,PRKCE,GSK3B,CTNNB1,SMAD1,CDK2,LRP1,TCF7L2,BMP1
VDR/RXR Activation	1.01E00	1.79E-01	NaN	CSNK2A1,SPP1,MED1,PSMC5,EP300,GTF2B,SP1,CDKN1A,CEBPA,PRKCE,NCOR1,SEMA3B,NCOR2,RXRA
CCR3 Signaling in Eosinophils	1.01E00	1.62E-01	NaN	RAF1,RALA,NRAS,MPRIP,CFL1,GRB2,PIK3R1,PLA2G10,FGFR1,RALB,GNB5,FGFR2,KRAS,ITPR1,PLA2G2A,GNB1,CALM1 (includes others),MAPK14,PPP1R12A,MAPK3,GNB2,PRKCE
PAK Signaling	1E00	1.68E-01	NaN	ITGB1,RAF1,RALA,NRAS,CASP3,CFL1,GRB2,ARHGEF7,PIK3R1,FGFR1,RALB,MAPK8,FGFR2,ITGA5,KRAS,GIT1,MAPK3,ITGA4
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	1E00	2.63E-01	NaN	INPP5E,SEC16A,IPPK,INPPL1,INPP5K
Purine Nucleotides Degradation II (Aerobic)	1E00	2.63E-01	NaN	GDA,IMPDH2,NT5E,ADA,NT5C2
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	1E00	2.63E-01	NaN	INPP5E,SEC16A,INPPL1,INPP5K,PTEN
Role of JAK family kinases in IL-6-type Cytokine Signaling	1E00	2.4E-01	NaN	MAPK14,MAPK3,TYK2,MAPK8,STAT3,STAT5B
MSP-RON Signaling Pathway	9.79E-01	1.81E-01	NaN	ACTA2,CSF1,GRB2,ACTB,PIK3R1,FGFR1,FGFR2,MST1R,NOS2,KLK5,ACTC1,KLK8,ACTA1
Lipid Antigen Presentation by CD1	9.36E-01	2.31E-01	NaN	CALR,AP2A1,AP2M1,PDIA3,CANX,AP2A2
RhoA Signaling	9.36E-01	1.61E-01	NaN	ACTR2,LPAR4,NEDD4,PFN1,MPRIP,SEPT9,CFL1,RTKN,ACTB,MYLK2,RAPGEF2,LPAR1,LPAR2,PPP1R12A,ACTA2,EZR,PFN2,ACTC1,ACTA1,KTN1
Heme Biosynthesis from Uroporphyrinogen-III I	9.36E-01	5E-01	NaN	UROD,FECH
Glutathione Redox Reactions II	9.36E-01	5E-01	NaN	GSR,PDIA3
N-acetylglucosamine Degradation II	9.36E-01	5E-01	NaN	GNPDA1,NAGK
Apelin Liver Signaling Pathway	9.36E-01	2.31E-01	NaN	COL1A1,APLNR,MAPK8,GSK3A,GSK3B,FAS
CCR5 Signaling in Macrophages	9.32E-01	1.68E-01	NaN	CD247,CD4,CACNB4,MAPK8,GNB5,CACNB3,CD3D,FAS,CACNA1A,GNB1,CALM1 (includes others),MAPK14,PLCG2,CACNA2D1,GNB2,PRKCE
Prostanoid Biosynthesis	9.03E-01	3.33E-01	NaN	PTGES2,PTGDS,PTGES3
Heme Biosynthesis II	9.03E-01	3.33E-01	NaN	UROD,FECH,ALAS1
Cardiac β-adrenergic Signaling	8.93E-01	1.56E-01	NaN	ENPP6,PPP2CA,PPP2R2A,RYR2,GNB5,ADCY6,ATP2A2,CACNA1A,GNB1,PPP2CB,PPP2R1A,PPP1CC,PPP1R12A,PPM1J,PPP2R2B,GNB2,PRKACA,TDP2,PPP2R2C,PPP1CA,PPP2R1B,FICD
Maturity Onset Diabetes of Young (MODY) Signaling	8.57E-01	2.38E-01	NaN	NEUROD1,FOXA2,GAPDH,INSR,CACNA1A
Role of JAK2 in Hormone-like Cytokine Signaling	8.48E-01	2.06E-01	NaN	PTPN6,TYK2,PTPN1,IRS4,STAT3,STAT5B,HLTF
Th17 Activation Pathway	8.3E-01	1.65E-01	NaN	IL12RB1,TYK2,FOXP3,STAT3,HIF1A,NFATC1,IRAK1,TRAF6,MTOR,HSP90B1,HSP90AB1,NFATC2,HSP90AA1,PTGER4,IRAK2
LXR/RXR Activation	8.27E-01	1.57E-01	NaN	KNG1,APOE,ECHS1,APOB,TNFRSF1A,VTN,ABCA1,IL1R2,FDFT1,ALB,SREBF1,NCOR1,ACACA,NCOR2,PLTP,HMGCR,NOS2,RXRA,CLU
Growth Hormone Signaling	8.21E-01	1.67E-01	NaN	RPS6KB1,PTPN6,GRB2,FGFR1,PIK3R1,FGFR2,STAT3,MAPK3,PLCG2,RPS6KB2,CEBPA,PRKCE,RPS6KA1,STAT5B
Role of JAK1 and JAK3 in γc Cytokine Signaling	8.12E-01	1.69E-01	NaN	STAT6,RALA,NRAS,GRB2,MAPK3,PIK3R1,FGFR1,RALB,IRS4,FGFR2,KRAS,STAT3,STAT5B
Ketogenesis	7.99E-01	3E-01	NaN	ACAT1,HMGCL,HMGCS1
Ketolysis	7.99E-01	3E-01	NaN	OXCT2,ACAT1,OXCT1
Wnt/Ca+ pathway	7.99E-01	1.75E-01	NaN	AXIN1,PDIA3,PLCG2,CREB1,CREB3,CREBBP,NFATC2,GSK3B,NFATC1,ATF2,EP300
Apelin Cardiac Fibroblast Signaling Pathway	7.99E-01	2.27E-01	NaN	AKT2,APLNR,AKT1,PRKAB1,NOS3
Mismatch Repair in Eukaryotes	7.83E-01	2.5E-01	NaN	PCNA,RPA1,FEN1,MLH1
Gαi Signaling	7.83E-01	1.54E-01	NaN	RAF1,SRC,RALA,NRAS,APLNR,OPRM1,GRB2,RALB,RGS7,GNB5,FPR2,ADCY6,KRAS,STAT3,GNB1,LPAR1,MAPK3,GNB2,PRKACA
α-Adrenergic Signaling	7.8E-01	1.61E-01	NaN	RAF1,NRAS,RALA,RALB,ADCY6,GNB5,KRAS,ITPR1,GNB1,CALM1 (includes others),MAPK3,PLCG2,GNB2,PRKACA,PRKCE
2-ketoglutarate Dehydrogenase Complex	7.77E-01	4E-01	NaN	DLST,DLD
Glutamate Degradation III (via 4-aminobutyrate)	7.77E-01	4E-01	NaN	GAD2,GAD1
Folate Polyglutamylation	7.77E-01	4E-01	NaN	MTHFD1,SHMT2
Corticotropin Releasing Hormone Signaling	7.72E-01	1.51E-01	NaN	RAF1,CREBBP,CREB3,CACNB4,ADCY6,CACNB3,ITPR1,NOS3,CACNA1A,EP300,ATF2,CALM1 (includes others),MAPK14,PLCG2,MAPK3,CREB1,CACNA2D1,NR4A1,PRKACA,PRKCE,NOS2
MIF Regulation of Innate Immunity	7.57E-01	1.86E-01	NaN	TP53,IKBKG,NFKBIA,PLA2G10,MAPK3,MAPK8,NOS2,PLA2G2A
CXCR4 Signaling	7.54E-01	1.46E-01	NaN	RAF1,RALA,CD4,PIK3R1,GNB5,KRAS,CRK,GNB1,ELMO3,AKT1,RHOT1,MAPK3,PRKCE,SRC,AKT2,NRAS,GRB2,FGFR1,RALB,ADCY6,MAPK8,FGFR2,ITPR1,GNB2,LYN
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	7.45E-01	2.17E-01	NaN	TYMS,NME4,AK4,PCK1,NME7
Asparagine Biosynthesis I	7.35E-01	1E00	NaN	ASNS
Human Embryonic Stem Cell Pluripotency	6.88E-01	1.47E-01	NaN	SMAD2,AKT2,TCF4,TGFBR1,GRB2,AXIN1,SMAD3,PIK3R1,FGFR1,FGFR2,GSK3A,TCF3,SOX2,AKT1,NTRK1,GSK3B,CTNNB1,SMAD1,TCF7L2,BMP1,POU5F1
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	6.88E-01	2.08E-01	NaN	RAF1,PTPN6,PTPN2,TYK2,STAT3
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	6.88E-01	2.08E-01	NaN	INPP5E,SEC16A,INPPL1,INPP5K,PTEN
TCA Cycle II (Eukaryotic)	6.88E-01	2.08E-01	NaN	SUCLA2,IDH3G,DLST,DLD,IDH3B
Cdc42 Signaling	6.8E-01	1.44E-01	NaN	CD247,ITGB1,EXOC1,RAF1,SRC,ACTR2,RALA,MPRIP,CFL1,HLA-A,HLA-B,MAPK8,ITGA5,IQGAP1,CD3D,ATF2,MAPK14,PPP1R12A,LLGL1,GSK3B,PARD3,RASA1,HLA-DPA1,ITGA4
Antigen Presentation Pathway	6.78E-01	1.84E-01	NaN	CALR,PDIA3,HLA-A,HLA-B,CANX,TAP1,HLA-DPA1
Hepatic Cholestasis	6.66E-01	1.44E-01	NaN	CYP7B1,SLC4A2,TNFRSF1A,MAPK8,ADCY6,IKBKE,MAP3K4,SLC22A6,IRAK1,TRAF6,IL1R2,IKBKB,TRAF2,IKBKG,NFKBIA,SREBF1,PRKACA,PRKCE,CHUK,INSR,RXRA,ESR1,IRAK2
Valine Degradation I	6.6E-01	2.22E-01	NaN	BCAT1,ECHS1,BCAT2,DLD
D-myo-inositol (1,4,5)-trisphosphate Degradation	6.6E-01	2.22E-01	NaN	INPP5E,SEC16A,INPPL1,INPP5K
GDP-mannose Biosynthesis	6.52E-01	3.33E-01	NaN	GMPPB,PMM1
IL-17A Signaling in Gastric Cells	6.42E-01	2E-01	NaN	MAPK14,MAPK3,MAPK8,IL17RA,EGFR
G Protein Signaling Mediated by Tubby	6.4E-01	1.88E-01	NaN	GNB1,PLCG2,ABL1,GNB5,GNB2,INSR
Guanosine Nucleotides Degradation III	6.4E-01	2.5E-01	NaN	GDA,NT5E,NT5C2
BER pathway	6.4E-01	2.5E-01	NaN	PCNA,PNKP,FEN1
Cholecystokinin/Gastrin-mediated Signaling	6.35E-01	1.5E-01	NaN	SRC,RAF1,NRAS,RALA,GRB2,RALB,MAPK8,KRAS,ITPR1,ATF2,MAPK14,RHOT1,MAPK3,CREM,PRKCE,EGFR
Neuropathic Pain Signaling In Dorsal Horn Neurons	6.29E-01	1.48E-01	NaN	GRIN2B,SRC,KCNN4,GRM1,PDIA3,GRB2,PIK3R1,FGFR1,FGFR2,ITPR1,TACR1,PLCG2,MAPK3,CREB1,PRKACA,PRKCE,CAMK2B
nNOS Signaling in Neurons	6.18E-01	1.7E-01	NaN	NOS1AP,CAPN8,CALM1 (includes others),GRIN2B,CAPNS1,CAPN1,PRKCE,CAPN2
Endothelin-1 Signaling	6E-01	1.38E-01	NaN	RAF1,RALA,PDIA3,PLA2G10,PIK3R1,KRAS,NOS3,MYC,MAPK3,PRKCE,NOS2,CASP8,SRC,NRAS,CASP3,GRB2,FGFR1,RALB,ADCY6,MAPK8,MAPK6,FGFR2,ITPR1,PLA2G2A,MAPK14,PLCG2,CASP7
Estrogen-mediated S-phase Entry	5.99E-01	1.92E-01	NaN	MYC,CDKN1A,ESR1,CDK2,CDK1
Role of IL-17A in Psoriasis	5.72E-01	2.31E-01	NaN	S100A7,S100A9,IL17RA
Urate Biosynthesis/Inosine 5'-phosphate Degradation	5.72E-01	2.31E-01	NaN	IMPDH2,NT5E,NT5C2
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	5.65E-01	1.52E-01	NaN	IKBKG,AKT2,AKT1,NFKBIA,GRB2,FGFR1,PIK3R1,MAPK3,FGFR2,CRK,GSK3B,MLH1
Granzyme A Signaling	5.56E-01	2E-01	NaN	ANP32A,SET,CREBBP,EP300
Phosphatidylcholine Biosynthesis I	5.56E-01	2.86E-01	NaN	CEPT1,CHPT1
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	5.56E-01	2.86E-01	NaN	PDHA1,DLD
Apelin Pancreas Signaling Pathway	5.41E-01	1.58E-01	NaN	APLNR,PRKAB1,GRB2,ERN1,FGFR1,PIK3R1,MAPK8,PRKACA,FGFR2
MIF-mediated Glucocorticoid Regulation	5.26E-01	1.71E-01	NaN	IKBKG,NFKBIA,PLA2G10,MAPK3,NR3C1,PLA2G2A
DNA Double-Strand Break Repair by Non-Homologous End Joining	5.11E-01	2.14E-01	NaN	WRN,XRCC6,RAD50
Phenylalanine Degradation IV (Mammalian, via Side Chain)	5.11E-01	2.14E-01	NaN	ALDH2,SLC27A2,ACSF3
Serotonin Receptor Signaling	5.09E-01	1.63E-01	NaN	HTR6,HTR3A,ADCY6,SLC6A4,SLC18A1,HTR3C,PCBD1
Spliceosomal Cycle	5.07E-01	5E-01	NaN	U2AF2
Epoxysqualene Biosynthesis	5.07E-01	5E-01	NaN	FDFT1
Spermine Biosynthesis	5.07E-01	5E-01	NaN	SMS
Alanine Degradation III	5.07E-01	5E-01	NaN	GPT
Alanine Biosynthesis II	5.07E-01	5E-01	NaN	GPT
Uridine-5'-phosphate Biosynthesis	5.07E-01	5E-01	NaN	UMPS
Cardiolipin Biosynthesis II	5.07E-01	5E-01	NaN	PTPMT1
Glycine Biosynthesis I	5.07E-01	5E-01	NaN	SHMT2
Glutamine Degradation I	5.07E-01	5E-01	NaN	GLS
cAMP-mediated signaling	5.07E-01	1.32E-01	NaN	ENPP6,RAF1,VIPR2,RAPGEF4,EP300,MAPK3,CREB1,TDP2,PTGER4,FICD,ADRB2,CAMK2B,HTR6,SRC,APLNR,PTGIR,OPRM1,CREB3,CREBBP,RGS7,ADCY6,FPR2,STAT3,ATF2,CALM1 (includes others),LPAR1,CREM,PTH1R,PRKACA,RPS6KA1
OX40 Signaling Pathway	4.85E-01	1.43E-01	NaN	CD247,BCL2L1,TRAF2,TRAF3,IKBKG,NFKBIA,HLA-A,CD4,HLA-B,MAPK8,CD3D,HLA-DPA1,BCL2
Inositol Pyrophosphates Biosynthesis	4.85E-01	2.5E-01	NaN	IPPK,IP6K1
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	4.85E-01	2.5E-01	NaN	TDO2,HAAO
Phagosome Formation	4.74E-01	1.36E-01	NaN	ITGB1,FN1,PDIA3,GRB2,VTN,PIK3R1,FGFR1,ITGA5,FGFR2,INPPL1,IGHG1,FCGR2B,FCGR1A,CLEC7A,RHOT1,PLCG2,PRKCE,ITGA4
NAD biosynthesis II (from tryptophan)	4.69E-01	2E-01	NaN	TDO2,HAAO,ABL1
Semaphorin Signaling in Neurons	4.52E-01	1.51E-01	NaN	ITGB1,CRMP1,FYN,CFL1,CDK5,RHOT1,MAPK3,NRP1
Leptin Signaling in Obesity	4.25E-01	1.4E-01	NaN	AKT2,AKT1,GRB2,PDIA3,FGFR1,PIK3R1,MAPK3,PLCG2,ADCY6,PRKACA,FGFR2,STAT3
Sucrose Degradation V (Mammalian)	4.17E-01	2.22E-01	NaN	ALDOA,ALDOC
Citrulline Biosynthesis	4.17E-01	2.22E-01	NaN	GLS,ALDH18A1
Adenosine Nucleotides Degradation II	4.17E-01	1.88E-01	NaN	NT5E,ADA,NT5C2
Folate Transformations I	4.17E-01	2.22E-01	NaN	MTHFD1,SHMT2
Neuroprotective Role of THOP1 in Alzheimer's Disease	4.03E-01	1.33E-01	NaN	KNG1,YWHAE,HLA-A,HLA-B,THOP1,IDE,KLK8,TPSAB1/TPSB2,APP,PREP,PLG,MAPT,CREB1,PRKACA,KLK5,FAP
Melatonin Signaling	3.85E-01	1.39E-01	NaN	CALM1 (includes others),RAF1,MTNR1B,MTNR1A,PDIA3,MAPK3,PLCG2,PRKACA,PRKCE,CAMK2B
RAN Signaling	3.85E-01	1.76E-01	NaN	CSE1L,RAN,XPO1
Diphthamide Biosynthesis	3.85E-01	3.33E-01	NaN	EEF2
NADH Repair	3.85E-01	3.33E-01	NaN	GAPDH
D-glucuronate Degradation I	3.85E-01	3.33E-01	NaN	CRYL1
Inosine-5'-phosphate Biosynthesis II	3.85E-01	3.33E-01	NaN	ADSL
Hypusine Biosynthesis	3.85E-01	3.33E-01	NaN	EIF5A
Geranylgeranyldiphosphate Biosynthesis	3.85E-01	3.33E-01	NaN	FNTB
Biotin-carboxyl Carrier Protein Assembly	3.85E-01	3.33E-01	NaN	ACACA
Thiosulfate Disproportionation III (Rhodanese)	3.85E-01	3.33E-01	NaN	MOCS3
1D-myo-inositol Hexakisphosphate Biosynthesis V (from Ins(1,3,4)P3)	3.85E-01	3.33E-01	NaN	IPPK
S-adenosyl-L-methionine Biosynthesis	3.85E-01	3.33E-01	NaN	MAT2A
Tyrosine Biosynthesis IV	3.85E-01	3.33E-01	NaN	PCBD1
N-acetylglucosamine Degradation I	3.85E-01	3.33E-01	NaN	GNPDA1
PXR/RXR Activation	3.75E-01	1.38E-01	NaN	AKT2,AKT1,PCK2,PRKACA,ALAS1,INSR,RXRA,NR3C1,CYP2C8
Netrin Signaling	3.75E-01	1.38E-01	NaN	RAC2,CACNB4,CACNA2D1,RYR2,PRKACA,NFATC2,CACNB3,NFATC1,CACNA1A
Tryptophan Degradation III (Eukaryotic)	3.75E-01	1.6E-01	NaN	TDO2,HAAO,ACAT1,GCDH
Embryonic Stem Cell Differentiation into Cardiac Lineages	3.74E-01	2E-01	NaN	SOX2,POU5F1
Calcium Transport I	3.74E-01	2E-01	NaN	ATP2A2,ATP2B2
Glutamate Receptor Signaling	3.74E-01	1.4E-01	NaN	GNB1,CALM1 (includes others),GRIN2B,SLC1A4,PICK1,GRM1,GLS,HOMER1
nNOS Signaling in Skeletal Muscle Cells	3.73E-01	1.46E-01	NaN	CALM1 (includes others),CACNB4,CACNA2D1,RYR2,CACNB3,CACNA1A
Relaxin Signaling	3.56E-01	1.27E-01	NaN	ENPP6,AKT2,GRB2,PIK3R1,FGFR1,GNB5,ADCY6,FGFR2,NOS3,GNB1,IKBKG,AKT1,NFKBIA,MAPK3,CREB1,GNB2,PRKACA,TDP2,NOS2,FICD
Antioxidant Action of Vitamin C	3.5E-01	1.3E-01	NaN	IKBKB,IKBKG,NFKBIA,MAPK14,PDIA3,PLCG2,MAPK3,PLA2G10,MAPK8,IKBKE,CHUK,STAT5B,PLA2G2A,GSTO1
Glycolysis I	3.47E-01	1.54E-01	NaN	PKM,ALDOA,GAPDH,ALDOC
Pentose Phosphate Pathway	3.24E-01	1.82E-01	NaN	TKT,G6PD
UDP-N-acetyl-D-galactosamine Biosynthesis II	3.24E-01	1.82E-01	NaN	GNPDA1,HK2
Arsenate Detoxification I (Glutaredoxin)	3.08E-01	2.5E-01	NaN	GSTO1
Pentose Phosphate Pathway (Oxidative Branch)	3.08E-01	2.5E-01	NaN	G6PD
Heme Degradation	3.08E-01	2.5E-01	NaN	BLVRA
PRPP Biosynthesis I	3.08E-01	2.5E-01	NaN	PRPS1
Branched-chain α-keto acid Dehydrogenase Complex	3.08E-01	2.5E-01	NaN	DLD
Phenylethylamine Degradation I	3.08E-01	2.5E-01	NaN	ALDH2
Ascorbate Recycling (Cytosolic)	3.08E-01	2.5E-01	NaN	GSTO1
Proline Biosynthesis I	3.08E-01	2.5E-01	NaN	ALDH18A1
Phenylalanine Degradation I (Aerobic)	3.08E-01	2.5E-01	NaN	PCBD1
Molybdenum Cofactor Biosynthesis	3.08E-01	2.5E-01	NaN	MOCS3
Acetate Conversion to Acetyl-CoA	3.08E-01	2.5E-01	NaN	ACSS1
IL-9 Signaling	2.89E-01	1.33E-01	NaN	GRB2,FGFR1,PIK3R1,FGFR2,STAT3,STAT5B
Cleavage and Polyadenylation of Pre-mRNA	2.89E-01	1.67E-01	NaN	NUDT21,CSTF2
Cellular Effects of Sildenafil (Viagra)	2.79E-01	1.22E-01	NaN	KCNN4,MPRIP,PDIA3,ACTB,ADCY6,ITPR1,NOS3,CACNA1A,CALM1 (includes others),PPP1R12A,ACTA2,PABPC4,PLCG2,PRKACA,ACTC1,ACTA1
Transcriptional Regulatory Network in Embryonic Stem Cells	2.79E-01	1.3E-01	NaN	SOX2,SET,H3F3A/H3F3B,KAT6A,L1CAM,STAT3,POU5F1
Apelin Adipocyte Signaling Pathway	2.72E-01	1.25E-01	NaN	MAPK14,APLNR,PRKAB1,MAPK3,ADCY6,MAPK8,PRKACA,MAPK6,HIF1A,GSTK1
T Helper Cell Differentiation	2.54E-01	1.23E-01	NaN	STAT6,TGFBR1,HLA-A,TNFRSF1A,IL12RB1,HLA-B,FOXP3,STAT3,BCL6
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	2.54E-01	1.22E-01	NaN	TRAF3,SLAMF1,SPP1,CD79B,HLA-A,CSF1,HLA-B,CD79A,CHUK,FAS,TNFRSF17
Trehalose Degradation II (Trehalase)	2.54E-01	2E-01	NaN	HK2
Creatine-phosphate Biosynthesis	2.54E-01	2E-01	NaN	MAP4K4
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	2.54E-01	2E-01	NaN	MTHFD1
Tetrapyrrole Biosynthesis II	2.54E-01	2E-01	NaN	ALAS1
Choline Biosynthesis III	2.54E-01	1.54E-01	NaN	CEPT1,CHPT1
Leukotriene Biosynthesis	2.54E-01	1.54E-01	NaN	GGT5,ALOX5
CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes)	2.54E-01	2E-01	NaN	NAGK
Eumelanin Biosynthesis	2.54E-01	2E-01	NaN	DDT
NAD Phosphorylation and Dephosphorylation	2.54E-01	1.54E-01	NaN	ACP2,NADK
2-oxobutanoate Degradation I	2.54E-01	2E-01	NaN	DLD
Trans, trans-farnesyl Diphosphate Biosynthesis	2.54E-01	2E-01	NaN	FDPS
Sonic Hedgehog Signaling	2.54E-01	1.33E-01	NaN	ARRB2,PRKACA,GSK3B,CDK1
Gustation Pathway	2.3E-01	1.17E-01	NaN	ENPP6,LPAR4,CACNB4,ADCY6,P2RX5,CACNB3,ITPR1,CACNA1A,SCNN1A,GNB1,SCNN1G,CACNA2D1,ASIC1,PRKACA,TDP2,SCNN1B,P2RX2,FICD
Colanic Acid Building Blocks Biosynthesis	2.28E-01	1.43E-01	NaN	GMPPB,PMM1
Eicosanoid Signaling	2.2E-01	1.19E-01	NaN	PTGIR,PTGES2,PLA2G10,FPR2,PTGDS,ALOX5,PTGER4,PLA2G2A
Fatty Acid β-oxidation I	2.16E-01	1.25E-01	NaN	ECHS1,SLC27A2,SCP2,ACAA2
Arginine Biosynthesis IV	2.08E-01	1.67E-01	NaN	ASS1
Pyruvate Fermentation to Lactate	2.08E-01	1.67E-01	NaN	LDHAL6B
Urea Cycle	2.08E-01	1.67E-01	NaN	ASS1
Glycine Cleavage Complex	2.08E-01	1.67E-01	NaN	DLD
UDP-N-acetyl-D-glucosamine Biosynthesis II	2.08E-01	1.67E-01	NaN	GFPT1
Zymosterol Biosynthesis	2.08E-01	1.67E-01	NaN	MSMO1
Lactose Degradation III	2.08E-01	1.67E-01	NaN	GLB1L3
SPINK1 Pancreatic Cancer Pathway	2E-01	1.17E-01	NaN	SMAD2,TGFBR1,SMAD3,CELA2B,CPA5,KLK8,KLK5
PCP pathway	1.86E-01	1.15E-01	NaN	CELSR1,PFN1,EFNB1,MAPK8,PFN2,LGR4,ATF2
Granzyme B Signaling	1.79E-01	1.25E-01	NaN	CASP3,CASP8
Glutaryl-CoA Degradation	1.79E-01	1.25E-01	NaN	ACAT1,GCDH
Coagulation System	1.71E-01	1.14E-01	NaN	KNG1,PLG,F2R,VWF
NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	1.71E-01	1.43E-01	NaN	ABL1
Pentose Phosphate Pathway (Non-oxidative Branch)	1.71E-01	1.43E-01	NaN	TKT
Adenine and Adenosine Salvage III	1.71E-01	1.43E-01	NaN	ADA
NAD Salvage Pathway II	1.69E-01	1.15E-01	NaN	ACP2,NT5E,NT5C2
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	1.69E-01	1.15E-01	NaN	LPCAT4,PTPMT1,TAZ
Gluconeogenesis I	1.69E-01	1.15E-01	NaN	ALDOA,GAPDH,ALDOC
Histidine Degradation III	1.43E-01	1.25E-01	NaN	MTHFD1
Purine Ribonucleosides Degradation to Ribose-1-phosphate	1.43E-01	1.25E-01	NaN	ADA
Salvage Pathways of Pyrimidine Deoxyribonucleotides	1.43E-01	1.25E-01	NaN	TK1
Sphingomyelin Metabolism	1.43E-01	1.25E-01	NaN	SGMS1
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	1.03E-01	NaN	ECSIT,APOE,GSTM5,SLC27A2,TNFRSF1A,MAP3K1,MAPK8,ALAS1,GSTO1,ABCA1,IRAK1,IL1R2,TRAF6,ALDH2,TRAF2,SREBF1,XPO1,ALDH18A1,PLTP,RXRA,HMGCS1,GSTK1,CYP2C8
Hepatic Fibrosis / Hepatic Stellate Cell Activation	-0E00	1.02E-01	NaN	SMAD2,VCAM1,ICAM1,TGFBR1,FN1,TNFRSF1A,SMAD3,FGFR1,FGFR2,COL4A3BP,BAX,FAS,BCL2,IL1R2,COL1A1,ACTA2,CSF1,LAMA1,EGFR
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	9.49E-02	NaN	TRAF6,CLEC7A,NLRP3,GRB2,FGFR1,PIK3R1,PLCG2,MAPK3,CREB1,MAPK8,PRKCE,FGFR2,EIF2S1
IL-15 Production	-0E00	1.07E-01	NaN	TWF1,TYK2,MST1R
Cardiomyocyte Differentiation via BMP Receptors	-0E00	5E-02	NaN	ATF2
Basal Cell Carcinoma Signaling	-0E00	1.11E-01	NaN	TP53,TCF4,AXIN1,GSK3B,TCF3,CTNNB1,TCF7L2,BMP1
Allograft Rejection Signaling	-0E00	5.81E-02	NaN	HLA-A,HLA-B,IGHG1,HLA-DPA1,FAS
Autoimmune Thyroid Disease Signaling	-0E00	8.16E-02	NaN	HLA-A,HLA-B,IGHG1,FAS
Graft-versus-Host Disease Signaling	-0E00	6.25E-02	NaN	HLA-A,HLA-B,FAS
Communication between Innate and Adaptive Immune Cells	-0E00	8.33E-02	NaN	CD79B,HLA-A,CD4,HLA-B,CD83,CD79A,IGHG1,TNFRSF17
Sphingosine-1-phosphate Signaling	-0E00	1.12E-01	NaN	AKT2,AKT1,CASP3,RHOT1,PDIA3,GRB2,PLCG2,MAPK3,PIK3R1,FGFR1,ADCY6,FGFR2,CASP8,CASP7
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00	1.01E-01	NaN	ACTA2,HLA-A,ACTB,HLA-B,CD83,ACTC1,ACTA1,FAS,CAMK2B
Retinoic acid Mediated Apoptosis Signaling	-0E00	9.68E-02	NaN	TNKS,CASP3,ZC3HAV1,CFLAR,RXRA,CASP8
Atherosclerosis Signaling	-0E00	1.1E-01	NaN	APOE,VCAM1,APOB,ICAM1,PLA2G10,PLA2G2A,TPSAB1/TPSB2,ALOXE3,COL1A1,ALB,CSF1,ALOX5,CLU,ITGA4
B Cell Development	-0E00	1.11E-01	NaN	CD79B,HLA-A,HLA-B,CD79A
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	1.04E-01	NaN	SIAH1,TCF4,AXIN1,GSK3B,TCF3,CTNNB1,TCF7L2,NCOA4
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	-0E00	4.35E-02	NaN	FDPS
Intrinsic Prothrombin Activation Pathway	-0E00	9.52E-02	NaN	KNG1,COL1A1,KLK5,KLK8
Hematopoiesis from Pluripotent Stem Cells	-0E00	1.02E-01	NaN	CD247,CSF1,CD4,IGHG1,CD3D
Hematopoiesis from Multipotent Stem Cells	-0E00	8.33E-02	NaN	CSF1
